URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,OriginalPrice (in Rs),DiscountAmount,DiscountedAmount,DiscountOffer(%),SizeOption,Ratings,Reviews,High/Low Discount,,,1),Calculate the overall average original price for products with ratings greater than 4.
https://www.myntra.com/tops/herenow/herenow-black-ethnic-motifs-a-line-top/7102379/buy,7102379,HERE&NOW,Plus Size,tops,Women,herenow black ethnic motifs a line top,1399,769.45,629,55,"XS, S, M, L, XL, XXL, 3XL",4.2,981,High Discount,,,,
https://www.myntra.com/tops/her-by-invictus/her-by-invictus-white-shirt-style-top/9240973/buy,9240973,her by invictus,Western,tops,Women,her by invictus white shirt style top,1599,559.65,1039,35,"S, M, L, XL, XXL",4.2,981,Low Discount,,,,
https://www.myntra.com/jackets/sassafras/sassafras-women-lavender-solid-cropped-jacket/12222046/buy,12222046,SASSAFRAS,Western,jackets,Women,sassafras women lavender solid cropped jacket,1799,1079.4,719,60,"XS, S, M, L, XL, XXL",4.5,981,High Discount,,,,
https://www.myntra.com/jackets/street-9/street-9-women-white-solid-crop-jacket/7772505/buy,7772505,STREET 9,Western,jackets,Women,street 9 women white solid crop jacket,1999,999.5,999,50,"XS, S, M, L, XL",4.3,981,Low Discount,,,,
https://www.myntra.com/tshirts/mast--harbour/mast--harbour-women-pink-solid-round-neck-t-shirt/11711920/buy,11711920,Mast & Harbour,Western,tshirts,Women,mast  harbour women pink solid round neck t shirt,799,479.4,319,60,"XS, S, M, L, XL",4.3,981,High Discount,,,,
https://www.myntra.com/briefs/levis/levis-men-pack-of-2-solid-pure-cotton--briefs-bf-100ca-2pk/9262959/buy,9262959,Levis,Inner Wear &  Sleep Wear,briefs,Men,levis men pack of 2 solid pure cotton  briefs bf 100ca 2pk,339,105.09,233,31,"S, M, L, XL",4.3,980,Low Discount,,,,
https://www.myntra.com/shirts/highlander/highlander-men-peach-coloured-slim-fit-solid-casual-shirt/2888743/buy,2888743,HIGHLANDER,Topwear,shirts,Men,highlander men peach coloured slim fit solid casual shirt,1249,686.95,562,55,"39, 40, 42, 44",4,980,High Discount,,,,
https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-red--off-white-bandhani-print-kurta-with-palazzos/13021502/buy,13021502,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women red  off white bandhani print kurta with palazzos,3399,1801.47,1597,53,"S, M, L, XL, XXL",3.9,980,High Discount,,,,
https://www.myntra.com/briefs/dollar-missy/dollar-missy-women-pack-of-12-hipster--101s-oe-po12/8025483/buy,8025483,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,dollar missy women pack of 12 hipster  101s oe po12,1800,720,1080,40,"XS, S, M, L, XL, XXL",4.4,980,Low Discount,,,,
https://www.myntra.com/sweatshirts/roadster/the-roadster-lifestyle-co-women-orange-solid-hooded-sweatshirt/9901951/buy,9901951,Roadster,Western,sweatshirts,Women,the roadster lifestyle co women orange solid hooded sweatshirt,1199,839.3,359,70,"XS, S, M, L, XL",4.3,980,High Discount,,,,
https://www.myntra.com/tops/trend-arrest/trend-arrest-women-red--white-floral-printed-smocked-crop-peplum-top/11709228/buy,11709228,Trend Arrest,Western,tops,Women,trend arrest women red  white floral printed smocked crop peplum top,1299,389.7,909,30,"XS, S, M, L",4.4,980,Low Discount,,,,
